County,Population (January 2019),Population in Group Quarters (January 2019),Population: Unincorporated (January 2019),"Population: Unincorporated, Group Quarters (January 2019)",Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Eligible Voters (February 2019),Registered Voters: No Party (February 2019),Registered Voters: Democrat (February 2019),Registered Voters: Republican (February 2019),Registered Voters: Other Party (February 2019),Labor Force: Employed (2018),Labor Force: Unemployed (2018),Labor Force: Unemployment Rate (2018),Poverty: All Ages (2017),Poverty: All Ages Percent (2017),Poverty: Under 18 (2017),Poverty: Under 18 Percent (2017),Median Household Income (2017)
Merced,"282,928","7,092","96,214","5,628","1,219","20,782","9,673","163,069","5,081",562,"83,887","25,109","55,649","170,962","32,553","157,445","25,546","41,741","26,607","4,377"," 105,800 "," 9,600 ",8.3%,"61,297",23.0%,"26,862",33.7%,"$48,036 "
Modoc,"9,602",350,"6,847",309,283,74,75,"1,436",238,22,"7,395",529,"1,264","5,140","2,590","7,307","1,133","1,048","2,425",324," 2,940 ", 240 ,7.6%,"1,658",19.2%,475,29.7%,"$40,970 "
Mono,"13,616",336,"5,612",178,203,202,43,"4,025",255,12,"9,222",839,"1,984","8,913","2,226","9,472","1,973","2,289","2,026",411," 8,200 ", 330 ,3.8%,"1,313",9.3%,329,12.6%,"$60,318 "
Monterey,"445,414","20,470","107,946","3,662","1,431","24,224","11,226","262,600","10,096","1,940","135,947","36,909","78,750","267,555","64,250","246,162","50,486","92,437","38,251","8,256"," 210,000 "," 14,000 ",6.3%,"49,860",11.9%,"18,275",16.2%,"$70,294 "
Napa,"140,779","4,861","26,158","2,586",556,"9,904","2,539","49,638","3,121",333,"75,014","8,224","20,117","85,376","27,388","93,704","21,458","35,404","16,939","4,074"," 72,400 "," 2,200 ",2.9%,"9,301",6.8%,"2,521",8.6%,"$83,881 "
Nevada,"98,904","1,195","66,579",418,889,"1,212",409,"9,687","2,625",106,"84,205","4,876","10,847","55,160","28,250","78,164","7,845","24,677","22,252","4,317"," 47,180 "," 1,690 ",3.5%,"10,889",11.0%,"2,451",14.4%,"$64,901 "
Orange,"3,222,498","50,835","129,128",768,"6,881","589,727","49,330","1,147,397","84,070","9,315","1,350,200","227,437","494,264","2,012,439","502,780","2,013,804","453,343","529,651","541,711","63,609"," 1,577,900 "," 47,500 ",2.9%,"362,109",11.5%,"108,596",15.7%,"$86,031 "
Placer,"396,691","3,986","116,170","2,102","2,491","25,785","5,138","53,693","12,179",810,"294,018","22,477","53,234","235,808","82,595","273,030","59,496","66,540","97,801","13,242"," 179,400 "," 5,800 ",3.1%,"29,873",7.8%,"6,132",7.2%,"$81,366 "
Plumas,"19,779",297,"17,803",273,457,142,190,"1,757",621,18,"16,311",994,"2,187","10,292","6,023","15,983","2,900","3,432","5,194",846," 7,260 ", 590 ,7.5%,"2,640",14.3%,680,22.0%,"$51,756 "
Riverside,"2,440,124","33,131","394,200","4,169","12,113","148,468","146,811","1,162,158","55,285","6,736","924,582","185,670","413,228","1,478,550","378,705","1,468,206","272,857","390,315","340,503","52,057"," 1,044,600 "," 47,800 ",4.4%,"309,235",12.9%,"98,029",16.2%,"$63,776 "
